Client_name,Phone_number,Email_id,File_no,Financial_framework
SGRP and associates,8985161771,sgrpandassociates@gmail.com,F001,IND AS 13
Komandor and co,9874537331,komandorandco@gmail.com,F002,IND AS 13
Sharath associates,7563547782,sharathassociates@gmail.com,F003,IND AS 13
Grandhy and co,7451856255,grandhyandco@gmail.com,F004,IND AS 13
Techbium solutions pvt ltd,9963315000,techbiumsolutionspvtltd@gmail.com,F005,IND AS 13
Digital india,8185000888,digitalindia@gmail.com,F006,IND AS 13
Byte xl,9963275666,bytexl@gmail.com,F007,IND AS 13
Mira solutions,8352759271,mirasolutions@gmail.com,F008,IND AS 13
HCL,9564756293,hcl@gmail.com,F009,IND AS 13
Indian bank,9964473527,indianbank@gmail.com,F010,Not applicable
